eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
24813,G13BB,56,64,76,87,1.3,74,4,16,бензин
43657,AS,37,44,50,60,1.6,85.5,4,8,Бензин/спирт
30041,MR479QA,69,,94,,1.5,78.7,4,16,бензин
38097,YC6K1352-50,382,,519,,12.9,129,6,24,Дизель
38852,BCFA,136,,185,,2,84,4,16,Дизель
29886,EXM,115,,156,,3,83,6,24,Дизель
22914,OM 603.972,100,,136,,3.4,89,6,12,Дизель
21272,M 97.70,353,462,480,628,3.6,100,6,24,бензин
29256,MCT.BB,155,,211,,3,83,6,24,Дизель
25259,A 17 DTC,81,,110,,1.7,79,4,16,Дизель
39339,HD15A,132,,180,,1.5,,4,16,бензин
25150,M9T 696,92,110,125,150,2.3,85,4,16,Дизель
40320,2106-70,56,,76,,1.6,79,4,8,бензин
18461,MR479QA,68,69,94,,1.5,78.7,4,16,бензин
17528,MIDR 06.23.56 A/3,255,,347,,11.1,123,6,12,Дизель
37872,MC07.35-40,254,,345,,6.9,108,6,24,Дизель
26125,M4R 714,101,105,137,143,2,84,4,16,бензин
17966,LSJ,152,,207,,2,86,4,16,бензин
40920,4DX23-120E4,91,,124,,3.9,102,4,8,Дизель
32115,F2CFE611B,265,,360,,8.7,117,6,24,Дизель
48254,L4NB,107,,146,,2,,4,16,Бензин/газ
25742,A 17 DTE,81,,110,,1.7,79,4,16,Дизель
25194,8035.02,33,40,45,54,2.6,100,3,6,Дизель
21973,BJ493Q-A,48,,65,,2.8,93,4,8,Дизель
11512,8210.42.210,265,,360,,13.8,137,6,12,Дизель
42156,G,164,183,223,249,7.5,110.75,8,16,бензин
5412,911.04,114,,155,,2.2,84,6,12,бензин
40454,ISGe5-320,235,,320,,10.5,132,6,24,Дизель
28629,781.136,40,46,54,63,1.3,75.5,4,8,бензин
46329,UY (CHT1600),55,64,75,87,1.6,77,4,8,Спирт
37216,M9R 650,118,147,160,200,2,85,4,16,Дизель
38883,YC4G180-30,132,,179,,5.2,112,4,8,Дизель
17460,OM 906.962,180,,245,,6.4,102,6,18,Дизель
45122,F33A-FTV,220,227,299,309,3.3,86,6,24,Дизель
37122,BCCB,140,,190,,2,84,4,16,Дизель
28536,4G64-S4M,101,,137,,2.4,86.5,4,16,бензин
31245,312 A6.000,44,,60,,0.9,83.5,2,8,бензин
2028,PN54,40,44,54,60,1.7,78,4,8,Дизель
42176,C25EDEF,116,116,158,158,2.5,88.9,4,16,бензин
42088,99WSFI,160,165,218,224,4.6,90.2,8,16,бензин
38215,WP10.270E40,199,,270,,9.7,126,6,12,Дизель
45044,D13J435,325,,442,,12.8,131,6,24,Дизель
17345,XUD9SD,48,55,65,75,1.9,83,4,8,Дизель
18746,2TZ-FZE,110,118,150,160,2.4,95,4,16,бензин
26734,D4DC,88,,120,,3.9,104,4,8,Дизель
25215,CJGD,180,,245,,3,83,6,24,Дизель
32993,LCV,147,,200,,2.5,88,4,16,бензин
34548,C10.340,253,254,344,345,10.3,125,6,24,Дизель
42433,4078CM,58,58,79,79,2.4,92,4,8,бензин
231,ABC,110,,150,,2.6,82.5,6,12,бензин
39869,1300B,53,63,72,85,1.4,75.32,4,8,бензин
6625,DHS 825,182,195,247,265,8.3,118,6,12,Дизель
53114,DWNA,471,,640,,4,102,8,32,бензин
29383,M 145 A,338,,460,,4.7,,8,32,бензин
46517,TZ190HSAMCF61,150,,204,,,,,,электричество
41235,WP3NQ160E50,118,,160,,3,94,4,16,Дизель
19185,OM 924.915,142,160,193,218,4.8,106,4,12,Дизель
38754,LN4(110CUL4),70,72,95,98,1.8,84.8,4,8,бензин
37532,DJ-TA90-MT,90,,122,,,,,,электричество
44993,740.72-360,265,,360,,11.8,120,8,16,Дизель
2456,J16,51,52,69,71,1.6,78,4,8,бензин
24708,B5 E,55,,75,,1.5,78,4,16,бензин
26813,K3-VE,63,75,86,102,1.3,72,4,16,бензин
28394,M67 D39 (398D1),180,190,245,258,3.9,84,8,32,Дизель
35280,XWJA,88,,120,,1.5,73.5,4,8,Дизель
19990,TCD 2012 L6 2V,108,155,147,211,6.1,101,6,12,Дизель
36129,D 16 DTI,81,,110,,1.6,79.7,4,16,Дизель
42271,RFM,63,65,86,88,2,86,4,8,Дизель
37676,BYD-1814TZ-XS-B,100,,136,,,,,,электричество
53426,VR35DDTT,317,,431,,3.5,86,6,24,бензин
35501,DD15,298,418,406,568,14.8,139,6,24,Дизель
35118,DBDE,467,,635,,6,84,12,48,бензин
8588,MIDS 06.20.45 J,161,,219,,9.8,120,6,12,Дизель
45551,YCD4F2L-115,85,,116,,3.9,102,4,8,Дизель
15493,AVY,92,,125,,1.6,76.5,4,16,бензин
16238,AQV,37,,50,,1,72,4,8,бензин
47611,YS220XSEP30,175,,238,,,,,,электричество
43485,XU10J2,90,90,122,122,2,86,4,8,бензин
25121,F8 (8 V),54,67,73,91,1.8,86,4,8,бензин
45791,AM67,160,320,218,435,,,,,электричество
18342,F 8L 413 F,154,188,209,256,12.8,125,8,16,Дизель
25004,93313090-H2,81,85,110,116,1.8,80.5,4,8,Бензин/спирт
50047,TZ160X15H-115,30,,41,,,,,,электричество
43664,99W,185,185,252,252,4.6,90.2,8,16,Бензин/газ
28538,N13 B16 A,75,125,102,170,1.6,77,4,16,бензин
20888,M9R 780,66,84,90,114,2,84,4,16,Дизель
2775,KDZ (TU3M),55,,75,,1.4,75,4,8,бензин
46481,4L88,65,,88,,2.8,95,4,8,Дизель
8643,MIDR 06.23.56 A/41,280,,381,,11.1,123,6,12,Дизель
33902,2TZ,108,,147,,2.4,95,4,16,бензин
24251,F10D,46,47,63,64,1.1,68.5,4,16,бензин
20542,D 2676 LF 02,353,,480,,12.4,126,6,24,Дизель
36800,DC 13.149,272,,370,,12.7,130,6,24,Дизель
10916,8060.45.4706,152,,207,,5.9,104,6,12,Дизель
20307,OM 457.920,280,,381,,12,128,6,24,Дизель
36019,36500-0E200,81,,110,,,,,,электричество
55113,L25(292CUL6),127,,173,,4.8,98.43,6,12,бензин
