eng_id,Код двигателя,Мощность (kw) от,Мощность (kw) до,Мощность (л.с.) от,Мощность (л.с.) до,Объем двигателя (л.),Диаметр цилиндра (мм),Количество цилиндров,Количество клапанов,Тип топлива двигателя
38679,BYD473QF,80,,109,,1.5,73,4,16,бензин
4104,HA,29,,40,,0.9,69.5,4,8,бензин
27080,4P10-7AT6,129,,175,,3,95.8,4,16,Дизель
30986,M838TE,397,496,540,675,3.8,93,8,32,бензин
22086,F20B4,132,,180,,2,85,4,16,бензин
46576,HFC4GB2-4E,110,,150,,1.5,,4,16,бензин
17570,18 SEH,85,,115,,1.8,84.8,4,8,бензин
20277,169 A3.000,74,79,100,107,1.4,72,4,16,бензин
34660,8GR-FXS,220,264,299,359,3.5,94,6,24,бензин
33415,TZ200XSJH6,85,,116,,,,,,электричество
26775,M9T 696,92,107,125,146,2.3,85,4,16,Дизель
36083,ADCR,85,,116,,2.6,94,4,8,Дизель
32704,12 HH,51,,69,,1.3,70.612,4,8,бензин
28202,GA13DS,59,,80,,1.3,71,4,16,бензин
38218,EQRN385-40,283,,385,,11.1,123,6,24,бензин
25832,F20A5,98,99,133,135,2,85,4,16,бензин
40697,YCK09380-60,280,,380,,9.4,123,6,24,Дизель
44563,12 HK,47,51,64,69,1.3,70.612,4,8,бензин
22199,M9R 816,127,132,173,180,2,84,4,16,Дизель
12748,DJY,50,,68,,1.9,83,4,8,Дизель
41967,GW4N20,150,165,204,224,2,85,4,16,бензин
11135,RF,51,64,69,87,2,86,4,8,Дизель
42814,307,149,149,203,203,5,98.42,8,16,бензин
14970,F3AE0681D,316,,430,,10.3,125,6,24,Дизель
44924,740.622-280,206,,280,,11.8,120,8,16,Дизель
48306,ZKX (ZK02),115,,156,,,,,,электричество
24281,4JB1-TI,75,,102,,2.8,93,4,8,Дизель
27755,LUA,71,,96,,1.6,79.96,4,8,бензин
22367,DC 12.09,309,,420,,11.7,127,6,24,Дизель
33449,H4DA401,45,52,60,71,1,72.2,3,12,бензин
17534,D16A470,346,,470,,16.1,144,6,24,Дизель
21393,930.02,147,,200,,3,95,6,12,бензин
32943,128 A.011,39,,53,,1.1,80,4,8,бензин
32928,B 20 NFT,191,206,260,280,2,86,4,16,бензин
8638,MIDR 06.02.26 W/41,154,,210,,6.2,102,6,12,Дизель
19376,F4R 720,88,,120,,2,82.7,4,16,бензин
44527,M9ME,129,,176,,1.5,79,4,16,бензин
24405,N47 D20 C,66,150,90,204,2,84,4,16,Дизель
50629,22UC,40,,54,,2.2,82.5,4,8,Дизель
43387,12HC,29,31,39,42,1.2,63.7,4,8,бензин
29835,CYNB,185,,252,,2,82.5,4,16,бензин
3506,B 20 C,74,,100,,2,90,4,8,бензин
43494,M49,99,99,135,135,4.9,101.6,8,16,бензин
12269,MIDR 04.02.26 A/41,100,,136,,4.1,102,4,8,Дизель
41153,YAMZ-536.21,175,,238,,6.7,105,6,12,Дизель
15953,J4N,44,,60,,1.3,74,4,8,бензин
30822,CWUB,412,,560,,4,84.5,8,32,бензин
1327,N6T,57,,78,,2,90.8,4,8,бензин
24408,FP4,51,,69,,1.2,70.8,4,8,бензин
52456,TZ180XSRLB,120,,163,,,,,,электричество
18374,EDM,72,77,98,105,2.5,87.5,4,8,бензин
47628,S5-DPTS,77,,105,,1.5,76,4,16,Дизель
28150,OM 457.967,220,260,299,354,12,128,6,24,Дизель
44705,4A15L,75,,102,,1.5,,4,16,бензин
214,1Z,66,,90,,1.9,79.5,4,8,Дизель
44172,D 2676 LF 75,382,382,520,520,12.4,126,6,24,Дизель
18485,2AD-FTV,98,110,133,150,2.2,86,4,16,Дизель
31576,B115,40,,54,,1.1,68,4,8,бензин
27202,CRBC,110,,150,,2,81,4,16,Дизель
40549,B 4204 T22,227,240,309,326,2,82,4,16,бензин
34720,4A15-K2,71,,97,,1.5,72,4,16,бензин
4093,GG,37,,50,,1.1,69.5,4,8,бензин
17373,D 2066 LF 04,228,,310,,10.5,120,6,24,Дизель
44322,TZ270-XS001,81,,110,,,,,,электричество
40971,BF4M1013-19E3,140,,190,,4.8,108,4,8,Дизель
32673,CFNA,77,,105,,1.6,76.5,4,16,бензин
47630,S5-DPTR,77,,105,,1.5,76,4,16,Дизель
31499,18L4E,136,,185,,1.8,88,4,16,бензин
5753,OM 401.985,200,,272,,9.6,125,6,12,Дизель
44747,YCS06270-60,199,,270,,6.2,105,6,24,Дизель
40467,WP10.5H460E50,338,,460,,10.5,122,6,24,Дизель
37499,ISC03 260,194,,264,,8.3,114,6,24,Дизель
18,AR 00548,83,97,113,132,1.8,80,4,8,бензин
37265,FTTB035,80,,109,,,,,,электричество
26649,J35Z4,183,189,249,253,3.5,89,6,24,бензин
39960,SFD,55,68,75,93,1.3,69.6,4,16,Дизель
42368,KV6,165,165,224,224,2.5,80,6,24,бензин
37861,MC11.40-40,294,,400,,10.5,120,6,24,Дизель
22112,J2,59,62,80,84,2.7,94.5,4,8,Дизель
20045,GZFA,100,107,136,145,2.3,87.5,4,16,бензин
9953,M 180.950,88,,120,,2.3,81.5,6,12,бензин
47560,F31A,81,,110,,1.5,,4,16,бензин
6602,DT 615,111,,151,,6.2,104,6,12,Дизель
4886,T 16,100,147,136,200,2,84.45,4,16,бензин
31450,LN7,94,,126,,3,96.5,6,12,бензин
8088,OM 364.984,100,,136,,4,97.5,4,8,Дизель
52902,TZ210XS1001,145,,197,,,,,,электричество
29244,CJLB,51,,70,,1.2,76.5,3,12,бензин
30861,YTD045W01,45,,61,,,,,,электричество
40527,280T,130,,177,,1.5,,4,16,бензин
20877,DT 12.18,324,,440,,11.7,127,6,24,Дизель
25683,OM 542.968,480,,653,,15.9,130,8,32,Дизель
45627,F1AGL411B,100,115,136,156,2.3,88,4,16,Дизель
47508,374.991,81,,110,,4,97.5,4,8,Дизель
42387,ZH16FYJA,72,72,98,98,1.6,76,4,16,бензин
43134,995,224,231,305,314,5.4,90.2,8,24,бензин
27801,F 119 G,217,224,295,305,3.4,85,8,32,бензин
18429,M 272.964,200,,272,,3.5,92.9,6,24,бензин
23727,OM 651.911,120,150,163,204,2.2,83,4,16,Дизель
26849,CB,34,,46,,1,76,3,6,бензин
42495,RG225,82,108,111,147,3.7,86.4,6,12,бензин
24748,M9T 676,74,92,101,125,2.3,85,4,16,Дизель
26126,M4R 751,101,105,137,143,2,84,4,16,бензин
3830,4A-GELC,80,86,109,117,1.6,81,4,16,бензин
45827,T24A-FTS,199,273,271,371,2.4,87.5,4,16,бензин
52954,BD,40,48,54,65,1.6,85.5,4,8,бензин
40272,W06E-TI,84,118,114,160,6,104,6,12,Дизель
36273,LV8(91CUL4),62,64,84,87,1.5,76.5,4,8,бензин
18173,OM 668.914,55,67,75,91,1.7,80,4,16,Дизель
39244,XC4G20,75,,102,,2,,4,8,бензин
38144,YC6MK420-50,309,,420,,10.3,123,6,24,Дизель
42494,3775,82,92,112,125,1.3,,2,,бензин
28139,DC 9.102,184,,250,,9.3,130,5,20,Дизель
46651,4L22CF,60,,82,,2.2,85,4,16,Дизель
23361,Z 16 XNT,110,,150,,1.6,79,4,16,Бензин/газ
15470,AZG,85,,115,,2,82.5,4,8,бензин
36291,LU1,167,169,227,230,3.2,89,6,24,бензин
54449,TZ210XYEED,160,,218,,,,,,электричество
51480,LX7,79,107,107,145,4.1,98.4,6,12,бензин
27357,127 A1.024,27,,37,,0.8,65,4,8,бензин
5125,B 16 A,44,,60,,1.6,78,4,8,бензин
20485,C30A3,201,,274,,3,90,6,24,бензин
25236,OM 924.930,136,160,185,218,4.8,106,4,12,Дизель
22463,ERZ,125,,170,,2.4,88,4,16,бензин
18302,K4M 761,81,83,110,113,1.6,79.5,4,16,бензин
42144,ZH16FCDB,70,70,95,95,1.6,76,4,16,бензин
45337,WP12NG336E50,247,,336,,11.6,126,6,24,Газ
26240,2TR 700,126,,171,,2.5,89,4,16,бензин
2982,M 44.08,110,,150,,2.5,100,4,8,бензин
39048,D 20 DTH (DW10FD),110,,150,,2,85,4,16,Дизель
26527,K4M 848,74,85,101,116,1.6,79.5,4,16,бензин
31492,EPT,391,468,532,636,8,101.6,10,20,бензин
45413,CYPA,185,,252,,2,82.5,4,16,бензин
40936,ISF3.8s4R141,105,,143,,3.8,102,4,16,Дизель
33763,AHM (DW10FUE),80,81,109,110,2,85,4,16,Дизель
33059,ZD22TE,75,,102,,2.2,,4,16,Дизель
29496,3A165LWM,25,,34,,1.6,87,3,6,Дизель
33,AR 01608 X,85,,115,,1.8,80,4,8,бензин
53131,6AM412,96,105,130,143,,,,,электричество
37595,D 1556 LF 07,294,,400,,9,115,6,24,Дизель
34881,DADA,110,,150,,1.5,74.5,4,16,бензин
8167,OM 366.995,150,,204,,6,97.5,6,12,Дизель
40412,WP7.270E30,199,,271,,7.1,108,6,24,Дизель
37867,CA6DN1-42E3,322,,438,,12.5,131,6,24,Дизель
39959,4A91T,110,115,150,156,1.5,75,4,16,бензин
32734,B 16 SHT,147,,200,,1.6,79,4,16,бензин
55172,LZ0,227,,309,,3,84,6,24,Дизель
10989,OM 447.992,184,,250,,12,128,6,12,Дизель
44886,SR20DET(2.2),212,,288,,2.2,87,4,16,бензин
854,F 119 D,221,224,301,305,3.4,85,8,32,бензин
31143,R18Z9,105,,143,,1.8,81,4,16,бензин
44952,ISB67-300,219,,298,,6.7,107,6,24,Дизель
42915,9FE,57,57,78,78,1.3,70.6,4,8,бензин
16200,AUR,74,,101,,1.6,81,4,8,бензин
39882,810,50,,68,,1.3,73,4,8,бензин
46021,TZ210XS-M030-01,60,,82,,,,,,электричество
29349,M 276.824,200,350,272,476,3,88,6,24,бензин
42691,B12,64,64,87,87,2.3,75,6,12,бензин
17830,OM 906.974,209,,280,,6.4,102,6,18,Дизель
35416,8GR-FKS,229,232,311,315,3.5,94,6,24,бензин
52911,TZ210XYH02,130,,177,,,,,,электричество
36913,L47(402CUV8),157,224,213,305,6.6,104.8,8,16,бензин
4004,AAM,55,,75,,1.8,81,4,8,бензин
38474,URA,89,,121,,2,82.5,4,8,Бензин/спирт
47464,F3HGE611X,316,,429,,12.9,135,6,24,Дизель
6048,OM 353.982,96,,130,,5.7,97,6,12,Дизель
42432,BFMS,386,386,525,525,4.2,84.5,8,40,бензин
3987,B 13,49,,66,,1.3,73,4,8,бензин
42576,994S,157,157,214,214,3.8,96.8,6,12,бензин
3108,C1E 754,33,34,45,46,1.1,70,4,8,бензин
26897,4RB2,102,,139,,2.4,95,4,16,бензин
35140,16S4C,92,,125,,1.6,75,4,16,бензин
50098,YS230XY01F30X,140,,190,,,,,,электричество
31813,101A000,58,66,79,90,1.1,68,4,8,бензин
33018,SRFB,85,,115,,2.2,86,4,16,Дизель
32989,6G72 (DOHC 24V),145,165,197,224,3,91.1,6,24,бензин
30224,EGA,110,134,150,182,3.3,93,6,12,бензин
50512,D6.7NS6B230,169,,230,,6.7,107,6,24,Дизель
31182,M60 B30 (308S1K),184,,250,,3,86,6,24,бензин
20297,6HK1-TCS,191,221,260,300,7.8,115,6,24,Дизель
30713,R9CB,176,177,241,241,2,87.5,4,16,бензин
20443,D7F 800,43,,58,,1.2,69,4,8,бензин
28495,4G69,100,118,136,160,2.4,87,4,16,бензин
44707,EBRA,80,,109,,,,,,электричество
48638,YS150S001,150,,204,,,,,,электричество
39876,TZ220XSBT1,120,,163,,,,,,электричество
18675,23 P,72,,98,,2.3,89.3,4,8,бензин
40842,TZ220XS030D1SG,80,,109,,,,,,электричество
25036,3G83 T (SOHC 12V),47,,64,,0.7,65,3,12,бензин
22313,JL479Q,63,,86,,1.3,78.7,4,16,бензин
49623,15FCD,95,,129,,1.5,73.5,4,16,бензин
32158,L17,47,60,64,82,1.6,82,4,8,Бензин/спирт
52905,EDFA,210,,286,,,,,,электричество
33912,CZPA,132,,180,,2,82.5,4,16,бензин
43731,E246L,76,76,103,103,2.5,98.4,4,8,бензин
49760,SFG15T,101,110,137,150,1.5,75,4,16,Бензин/газ
48244,H5F601,96,147,131,200,1.2,75.5,3,12,бензин
26136,N47 C16 A,66,82,90,112,1.6,78,4,16,Дизель
46103,D20TCID,110,,150,,1.9,80,4,16,Дизель
9013,XM7T,50,51,68,69,1.8,84,4,8,бензин
288,KL,96,,131,,2.2,79.5,5,10,бензин
37817,ISM11E5 345,250,,340,,10.8,125,6,24,Дизель
3413,S8U 720,51,,69,,2.5,93,4,8,Дизель
23388,4G63-S4,95,,129,,2,85,4,16,бензин
350,XW,57,,78,,1.5,76.5,4,8,бензин
25550,8035.06.323,33,40,45,54,2.7,100,3,6,Дизель
43444,B20M,95,95,129,129,2,80,6,12,бензин
50141,D432.100,100,,136,,3.9,102,4,16,Дизель
4197,ACK,142,,193,,2.8,82.5,6,30,бензин
3107,C1E 752,33,34,45,46,1.1,70,4,8,бензин
17899,AJH,110,,150,,1.8,81,4,20,бензин
44130,DTTA,110,,150,,2,81,4,16,Дизель
626,CRD93LS (U25/673),70,,95,,2.5,93,4,8,Дизель
23302,PNBA,92,,125,,1.6,79,4,16,бензин
4733,15 DT (T4EC1),49,53,67,72,1.5,76,4,8,Дизель
45799,F1CFL411A,110,152,150,207,3,95.8,4,16,Дизель
45150,TZ228XS68H,145,,197,,,,,,электричество
30919,CF465QE1,35,,47,,1,65.5,4,8,бензин
21132,6.10 TCA,127,177,173,241,6.5,103,6,12,Дизель
17849,8140.43S,94,,128,,2.8,94.4,4,8,Дизель
40458,Phaser210Ti-S30,154,,210,,6,100,6,24,Дизель
31823,HR16DE,86,,117,,1.6,78,4,16,бензин
42406,C20HDEZ,82,97,112,132,2,84.8,4,16,бензин
31955,J35A1,151,157,205,213,3.5,89,6,24,бензин
48386,P5-VPS,97,,132,,1.5,74.5,4,16,бензин
2316,4G37,62,71,86,97,1.8,80.6,4,8,бензин
36189,DNTA,180,,245,,2,82.5,4,16,бензин
10406,8040.45.4180,100,,136,,3.9,104,4,8,Дизель
41084,ISDe210-41,155,,211,,6.7,107,6,24,Дизель
52287,4G15F6L,124,,169,,1.5,79,4,16,бензин
33867,A170010J-H0201,17,,23,,,,,,электричество
8993,WD 615.60,191,,260,,9.7,126,6,12,Дизель
9159,TD 101 GA,200,,272,,9.6,120.65,6,12,Дизель
2064,M 102.921,63,77,86,105,2,89,4,8,бензин
15849,X 22 SE,100,104,136,141,2.2,86,4,16,бензин
38028,CA6DM2-39E3F,290,,394,,11.1,123,6,24,Дизель
38216,WP12.340E32,250,,340,,11.6,126,6,24,Дизель
23072,D 2066 LOH 11,287,,390,,10.5,120,6,24,Дизель
32237,EN07X,47,,64,,0.7,56,4,16,бензин
19006,GAZ-560,70,,95,,2.1,85,4,8,Дизель
19481,OM614,36,,49,,2.4,90.9,4,8,Дизель
25099,OM 642.868,190,,258,,3,83,6,24,Дизель
34254,TL 16E,63,82,86,111,1.6,81,4,8,бензин
13908,XFX (ES9J4S),150,155,204,211,3,87,6,24,бензин
47919,16 P,102,,139,,2.5,84.5,5,10,Дизель
36989,DLZB,260,,354,,3,84.5,6,24,бензин
38319,E6-350,261,,355,,11,123.8,6,24,Дизель
37156,HR12DR,65,72,98,,1.2,78,3,12,бензин
27512,YC6A240-30,177,,240,,7.3,108,6,12,Дизель
47474,AS 30180,48,50,65,68,1.3,80,4,8,бензин
55207,CA4DC2-10E4,79,,107,,3.2,98,4,8,Дизель
44617,F8DE,85,,116,,1.8,86,4,16,бензин
49133,R 756 EU6EH,115,,156,,4.5,94,6,12,Дизель
40614,D13465,347,,472,,12.8,131,6,24,Дизель
14928,G9T 720,66,,90,,2.2,87,4,16,Дизель
40717,J08EUP,221,,300,,7.7,112,6,24,Дизель
33636,DJHB,213,,290,,2,82.5,4,16,бензин
42158,BPT,117,117,159,159,1.8,83,4,16,бензин
53533,TZ160X020,20,,27,,,,,,электричество
27442,8060.45B,130,,177,,5.9,104,6,12,Дизель
18170,N52 B30 A,155,200,211,272,3,85,6,24,бензин
16764,D 2866 LUH 23,191,,260,,12,128,6,24,Дизель
42564,K1,51,59,69,80,1.2,77.7,4,8,бензин
24986,368DT(LION),200,,272,,3.6,81,8,32,Дизель
40097,KKM 624,77,79,105,107,1,,2,,бензин
37782,YC6J160-33,118,,160,,6.5,105,6,24,Дизель
119,AR 30753,65,66,88,90,1.4,80,4,8,бензин
31954,R18A4,84,,114,,1.8,81,4,16,Бензин/газ
47918,132 C.000,65,72,89,98,1.6,84,4,8,бензин
17432,M 271.944,120,,163,,1.8,82,4,16,бензин
45389,ISBe6-280,206,,280,,6.7,107,6,24,Дизель
16556,OM 314.965,63,,85,,3.8,97,4,8,Дизель
26336,CLPA,63,,85,,1.4,76.5,4,16,бензин
42924,8140.67,59,62,80,84,2.5,93,4,8,Дизель
32998,BHY (DV6FD),73,,99,,1.6,75,4,8,Дизель
34453,DCFA,81,,110,,1.5,74.5,4,16,бензин
30836,CA4GD1,104,108,141,147,2,87.5,4,16,бензин
24776,9HU,66,,90,,1.6,75,4,16,Дизель
2226,OM 603.972,100,,136,,3.5,89,6,12,Дизель
35708,Q0JC,63,,85,,1,71.9,3,12,бензин
24672,199 B1.000,57,70,77,95,1.3,69.6,4,16,Дизель
27967,9HJ (DV6DTEDM),68,,92,,1.6,75,4,8,Дизель
4532,ER1,41,,56,,1.2,66,4,8,бензин
4894,AAZ,55,,75,,1.9,79.5,4,8,Дизель
19464,99H,168,,228,,4.9,101.6,8,16,бензин
49704,TZ220XYS76,155,,211,,,,,,электричество
45360,6K1348N-60,353,,480,,12.9,129,6,24,Газ
36198,5GY (EP6FDTM),121,,165,,1.6,77,4,16,бензин
37359,F1AGL411J,100,,136,,2.3,88,4,16,Дизель
22516,EL 17 L,44,48,60,65,1.7,83,4,8,бензин
27254,CHPA,103,,140,,1.4,74.5,4,16,бензин
21035,ISL G 300,221,224,300,305,8.8,114,6,12,Газ
40828,L4NA,106,115,144,157,2,,4,16,Бензин/газ
50755,DXi 11 430,316,,430,,10.8,123,6,24,Дизель
25017,J2,82,86,112,117,1.8,80.5,4,8,Бензин/спирт
42869,ZMZ406211,96,96,131,131,2.3,92,4,16,бензин
41165,D 2866 LOH 30,294,,400,,12,128,6,12,Дизель
25530,D4FA,88,,120,,2.4,89.9,4,16,Дизель
37289,4F20TC2,110,,150,,2,,4,16,Дизель
19078,D 0226 MKH,125,154,170,209,5.7,102,6,12,Дизель
45207,SC9DK310Q3B1,228,,310,,8.8,114,6,24,Дизель
44999,182E15,13,,18,,0.8,100,1,2,Дизель
49410,N 18 XFH,79,86,107,117,1.8,80.5,4,8,бензин
36559,ADE447TI,265,,360,,12,128,6,12,Дизель
49261,13 NE,58,,79,,1.3,75,4,8,бензин
22685,4G64-S4M,93,,126,,2.4,86.5,4,16,бензин
48615,BJDA,88,,120,,2,84,4,16,Дизель
35969,CA4D28C5-1B,80,,109,,2.8,,4,8,Дизель
23718,WEAT,115,,156,,3,96,4,16,Дизель
30248,B 14 NET,103,110,140,150,1.4,72.5,4,16,бензин
52263,20A4E,170,178,231,242,2,,4,16,бензин
51341,JO,42,,57,,1.3,71.5,4,8,бензин
13008,176W (N9TEA),128,,174,,2.2,91.7,4,8,бензин
16462,ATD,74,,100,,1.9,79.5,4,8,Дизель
33030,L 410 M1T4,373,395,507,537,6.8,104.2,8,16,бензин
39981,21126-79,85,,116,,1.6,82,4,16,бензин
20675,BDF,147,,200,,2.8,81,6,24,бензин
14328,D7F 720,43,,58,,1.2,69,4,8,бензин
38735,P120,47,,64,,1.2,87,2,8,Дизель
14917,ANU,66,,90,,1.9,79.5,4,8,Дизель
32938,Boss 335,335,351,456,477,5,92.2,8,32,бензин
11387,8210.22.210,224,,305,,13.8,137,6,12,Дизель
33956,IA1XB2H,11,,15,,,,,,электричество
29761,JM491Q-ME,76,,103,,2.2,91,4,8,бензин
47356,4B1-88C40,65,,88,,2.3,85,4,8,Дизель
9406,XFZ (ES9J4),140,150,190,204,3,87,6,24,бензин
52669,4F20TC23,112,,152,,2,,4,16,Дизель
37198,570H (MF-9),224,246,305,334,9.4,116.6,6,24,Дизель
20073,L37,218,,296,,4.6,93,8,32,бензин
31008,K24V6,137,,186,,2.4,87,4,16,бензин
8080,OM 366.969,125,,170,,6,97.5,6,12,Дизель
3100,C1E 700,35,36,48,49,1.1,70,4,8,бензин
44760,YC6MK350-50,258,,350,,10.3,123,6,24,Дизель
20343,B18B1,97,106,132,144,1.8,81,4,16,бензин
1334,N8D,77,,105,,2,86,4,8,бензин
50563,ISC8.3-270E40A,198,,269,,8.3,114,6,12,Дизель
34133,4YDA8K,66,,90,,2,,4,16,Дизель
21116,CAEB,155,164,211,223,2,82.5,4,16,бензин
40497,LJ479Q6,92,,125,,1.8,,4,16,бензин
49279,DK12C,67,,91,,1.2,,4,16,бензин
29809,B12D2,63,,86,,1.2,70.5,4,16,бензин
16882,M 166.995,103,,140,,2.1,84,4,8,бензин
18254,LDA1,61,69,83,94,1.3,73,4,8,бензин
36546,ADE442TI,279,,380,,14.6,128,8,16,Дизель
49174,9APVLA(AJ6),108,,147,,2.9,,6,12,бензин
3517,B202XL,118,132,160,180,2,90,4,16,бензин
17949,1MZ-FE,135,164,184,223,3,87.5,6,24,бензин
24877,RHV (DW10TD),62,,84,,2,85,4,8,Дизель
2944,930.20,170,,231,,3.2,95,6,12,бензин
31666,3A-LU,61,,83,,1.5,77.5,4,8,бензин
30270,TNBA,149,,203,,2,87.5,4,16,бензин
44056,B5,77,,105,,1.5,78,4,8,бензин
36704,EAWA,141,,192,,,,,,электричество
19908,2GR-FSE,188,235,256,320,3.5,94,6,24,бензин
25214,3UZ-FE,206,232,280,316,4.3,91,8,32,бензин
43006,L3Y,97,97,132,132,2,84,4,16,бензин
30360,JL4G18,93,102,126,139,1.8,79,4,16,бензин
47069,CA4DD1-11E4R,84,,114,,3,95.4,4,16,Дизель
26881,2RZ,72,96,98,131,2.4,95,4,8,бензин
20316,OM 457.932,265,,360,,12,128,6,24,Дизель
5816,OM 403.916,235,,320,,16,125,10,20,Дизель
37450,H07C-E,132,,179,,6.7,110,6,12,Дизель
42855,4G54,76,78,103,106,2.6,91.1,4,8,бензин
52592,TZ190XY106,183,,249,,,,,,электричество
1398,OHV KL 16 L,45,52,71,,1.6,81,4,8,бензин
29597,CDLK,206,,280,,2,82.5,4,16,бензин
32462,F2R4,68,,92,,2.2,86,4,12,бензин
20451,JL376QE,38,,52,,1,76,3,6,бензин
45376,DRNB,150,,204,,2,82.5,4,16,бензин
18245,BSE,75,,102,,1.6,81,4,8,бензин
5408,901.11,103,,140,,2,80,6,12,бензин
34076,SQRE4G16,93,,126,,1.6,77,4,16,бензин
34692,S773L,18,,24,,1.1,,3,6,Дизель
39737,EHZ (DW10FDCU),130,,177,,2,85,4,16,Дизель
28566,4NR-FE,73,,99,,1.3,72.5,4,16,бензин
36570,G10BB,43,,58,,1,72,4,16,бензин
37685,ISF2.8-S5148T,105,106,143,144,2.8,94,4,16,Дизель
45509,CM6D20.450 50,331,,450,,10.5,120,6,24,Дизель
27827,911.61,103,,140,,2.3,84,6,12,бензин
28230,LFJ,88,,120,,1.6,79,4,16,бензин
29918,J30A5,165,192,224,261,3,86,6,24,бензин
6693,DG,45,,61,,2.5,88,4,8,Дизель
44169,N0HA,114,118,155,160,2,84,4,16,Дизель
31028,CWVB,66,,90,,1.6,76.5,4,16,бензин
30038,MR20,105,,143,,2,84,4,16,бензин
45909,PT153(AJ20P3),118,227,160,309,1.5,83,3,12,бензин
25130,TD42,75,85,102,116,4.2,96,6,12,Дизель
17988,HHJA,66,,90,,1.6,75,4,16,Дизель
23067,D 2066 LUH 24,287,,390,,10.5,120,6,24,Дизель
36215,YMCA,110,,150,,2,84,4,16,Дизель
43390,117E1000,75,75,102,102,2.3,77.7,6,12,бензин
22302,HH465Q,39,,53,,1.1,65.5,4,8,бензин
32487,APJ6,283,331,385,450,4,96,6,24,бензин
47202,SD4AW504U,50,,68,,2.3,85,4,8,Дизель
6652,NS 156 L,156,,210,,6.2,104.175,6,12,Дизель
29834,CYGA,140,,190,,1.8,82.5,4,16,бензин
41893,H4M 632,67,69,91,94,1.6,78,4,16,бензин
50757,DXi 11 380,279,280,379,381,10.8,123,6,24,Дизель
20645,F3BE3681A,412,,560,,12.9,135,6,24,Дизель
20012,EF-VE,34,43,46,58,0.7,68,3,12,бензин
43702,V99V,243,243,330,330,4.6,90.2,8,32,бензин
44495,K4M 864,78,86,106,116,1.6,79.5,4,16,Бензин/спирт
34486,B48 A20 B,141,170,192,231,2,82,4,16,бензин
649,G10,40,,54,,1,74,4,8,бензин
37620,D 0836 LFL AO,213,,290,,6.9,108,6,24,Дизель
30834,BJ493ZQ,68,,92,,2.8,93,4,8,Дизель
14333,K7M 745,66,,90,,1.6,79.5,4,8,бензин
9219,D6A180,132,,180,,5.5,98.43,6,12,Дизель
45961,DC 09.139,206,,280,,9.3,130,5,20,Дизель
46647,4J15T,115,121,156,165,1.5,,4,16,бензин
35272,XPJB,52,,71,,1.1,73,3,12,бензин
30982,CSNA,120,,163,,2,81,4,16,Дизель
10609,ALL,37,,50,,1,67.1,4,8,бензин
19855,C 30 NE,116,130,158,177,3,95,6,12,бензин
33111,CVJA,185,,252,,2,82.5,4,16,бензин
7609,D 2566 MUH/200,147,,200,,11.4,125,6,12,Дизель
28352,M30 B25 (256EA),107,110,145,150,2.5,86,6,12,бензин
48940,199 B7.000,74,,101,,0.9,80.5,2,8,бензин
24423,TBBB,107,,145,,2,87.5,4,16,Бензин / этиловый спирт / природный газ
6601,DF 615,85,,115,,6.2,104,6,12,Дизель
39407,TZ180XS-PM2C6202,55,,75,,,,,,электричество
28818,OM 924.934,95,150,129,204,4.8,106,4,12,Дизель
37904,DPCA,110,,150,,1.5,74.5,4,16,бензин
2249,OM 616.917,48,,65,,2.4,90.9,4,8,Дизель
34352,15GB,45,53,61,72,1.5,,4,8,бензин
19651,DA465Q,34,36,46,49,1,65.5,4,8,бензин
47676,TZ260XSC52,100,,136,,,,,,электричество
37658,K24Z2,132,150,179,204,2.3,87,4,16,бензин
42340,BARRA190,190,190,258,258,4,92.25,6,24,бензин
23583,CBZB,77,,105,,1.2,71,4,8,бензин
47914,B18B3,97,,132,,1.8,81,4,16,бензин
727,RFX (XU10J2C),89,90,120,122,2,86,4,8,бензин
50547,18 C,59,63,80,86,1.8,80.2,4,8,бензин
48663,L375-30,276,,375,,8.8,114,6,24,Дизель
551,F00,155,,211,,3.5,,6,24,бензин
31609,B6GP,86,,117,,1.6,78,4,16,бензин
1569,EB3,44,,60,,1.2,72,4,8,бензин
16943,OM 401.908,141,,192,,9.6,125,6,12,Дизель
31920,E 2876 LUH 08,200,,272,,12.8,128,6,12,Газ
39321,TZ160S001,160,,218,,,,,,электричество
34914,ERC,209,220,284,299,3.6,96,6,24,Бензин/спирт
31522,B5C4,62,,84,,1.5,78,4,16,бензин
4350,131 C4.000,83,85,113,116,2,84,4,8,бензин
19578,BPE5,77,85,116,,1.8,83,4,16,бензин
9147,TD 60 C,108,113,147,154,5.5,98.43,6,12,Дизель
47917,781.136M,50,,68,,1.3,75.5,4,8,бензин
43553,JL478QEE,83,83,113,113,1.6,78,4,16,бензин
31962,B18C5,145,,197,,1.8,81,4,16,бензин
5360,E15ET,77,,105,,1.5,76,4,8,бензин
38562,EBMA,61,,83,,,,,,электричество
48585,GSE-T270,129,136,175,185,1.3,70,4,16,Бензин/спирт
53541,LNF,175,,238,,2,86,4,16,бензин
36464,LS6(454CUV8),317,,431,,7.4,107.98,8,16,бензин
30847,4G64-S4M,91,,124,,2.4,86.5,4,16,бензин
45559,BR10HS,53,,72,,1,71,3,12,бензин
34742,B 16 DTH (DV6FC),85,88,116,120,1.6,75,4,8,Дизель
36318,L18(98CUL4),55,,75,,1.6,82,4,8,бензин
