let_eng_id,let_type_id,case
39179,138648,PC
38906,38336,CV
27783,43052,CV
25776,14332,CV
17370,53920,CV
3917,121893,PC
48669,152195,PC
40833,144586,PC
35635,145827,PC
35913,36837,CV
20919,23165,PC
40705,46946,CV
16012,5818,PC
20871,57018,CV
35097,124998,PC
3629,144735,PC
33716,33256,CV
32083,36617,PC
53006,147889,PC
35911,27870,CV
34514,13297,PC
20620,9531,CV
13332,10294,CV
17454,20468,CV
1553,24599,PC
40822,57281,PC
18097,11409,CV
19017,11666,CV
44734,145081,PC
31356,119031,PC
21193,116844,PC
41003,35874,CV
3928,8641,PC
18059,14079,CV
32294,125971,PC
18989,19290,PC
43228,106749,PC
45742,140905,PC
28966,1573,CV
35373,130185,PC
39787,31474,PC
11448,11241,PC
35176,136060,PC
43986,39369,PC
26214,128545,PC
3839,129016,PC
13441,14238,PC
36798,27410,CV
32420,125642,PC
24509,58057,CV
18518,18431,PC
43435,39009,PC
31274,54988,PC
39166,31236,CV
31391,137857,PC
22377,17348,CV
28261,53336,PC
7695,1156,CV
36585,128181,PC
45518,48744,CV
53974,801839,CV
7880,881,CV
51999,158017,PC
967,9021,PC
36489,106435,PC
36884,62826,CV
5988,921,CV
34619,46874,CV
25630,58079,PC
46595,148251,PC
6898,14202,PC
34188,129198,PC
38705,32931,CV
1377,995,PC
25519,18250,CV
25024,55038,PC
18097,9482,CV
22152,801779,CV
36995,109611,PC
36817,24769,CV
8847,5404,CV
27779,45386,CV
19287,51223,PC
35904,27935,CV
40491,45151,CV
43533,6519,PC
33174,14793,PC
14729,16182,PC
27837,107832,PC
42095,118328,PC
34121,25468,CV
7764,53939,CV
6026,34019,PC
16521,11985,CV
36799,802773,CV
23085,31441,CV
7780,2568,CV
24509,33782,CV
34793,147125,PC
7663,1009,CV
45005,107149,PC
40323,34926,CV
28017,134354,PC
3770,10766,PC
22460,20721,PC
23929,52395,PC
30589,120933,PC
3531,2921,PC
42269,26938,PC
38127,48776,CV
23917,121928,PC
27784,29537,CV
30401,131768,PC
30799,61939,CV
29575,141408,PC
28158,19520,CV
39807,139604,PC
26217,23666,PC
34160,137704,PC
17507,28141,PC
24500,12813,CV
36120,119851,PC
53352,801396,CV
12772,7424,CV
30492,31633,PC
15415,4612,CV
19180,47984,CV
24013,12490,CV
9643,112989,PC
16584,13225,CV
45740,138488,PC
18517,22957,PC
27724,41645,CV
5792,688,CV
46530,51544,CV
30551,110330,PC
28373,51947,PC
7777,53738,CV
29224,39895,PC
37928,44710,CV
3820,26287,PC
34122,25385,CV
35967,137073,PC
31692,17478,CV
23484,32777,PC
31354,118955,PC
19966,66203,CV
7780,56660,CV
3820,4729,PC
22152,801937,CV
36045,34258,CV
41935,45014,PC
28572,54778,CV
20391,19036,PC
45546,48949,CV
43355,110903,PC
18501,18952,PC
18019,28027,PC
42824,7017,PC
32882,118694,PC
18366,7691,PC
35013,15686,CV
27526,58357,PC
28517,56930,PC
6127,646,CV
29824,36436,CV
51263,32541,PC
36815,51154,CV
4004,1885,PC
9379,4579,PC
25463,31496,CV
15416,24289,CV
12870,7437,CV
27595,40792,CV
3622,132438,PC
25095,116222,PC
38451,134271,PC
81,2525,PC
35243,23990,CV
53208,22052,CV
2043,27109,PC
38769,116632,PC
13892,7896,PC
31124,11972,PC
17652,108391,PC
37624,42099,CV
22151,800500,CV
28178,138516,PC
45934,22389,CV
37830,19597,CV
28155,801014,CV
5789,601,CV
21132,10191,CV
45544,48370,CV
6074,174,CV
25455,31391,CV
29877,121242,PC
35013,33743,CV
9400,44522,PC
43226,106756,PC
53881,155806,PC
47427,801249,PC
29169,6913,PC
37733,30325,CV
40786,30316,PC
22500,37253,PC
33737,35141,CV
37426,108041,PC
42710,119350,PC
29912,115975,PC
36424,145338,PC
42858,57609,PC
19017,60232,CV
3398,7618,PC
45956,24530,CV
35013,33579,CV
7794,56465,CV
28887,23687,CV
32534,137809,PC
3507,2917,PC
35913,33848,CV
4973,1876,PC
21311,53218,CV
27089,28237,CV
39314,139000,PC
18930,58283,CV
24613,122025,PC
36801,24668,CV
48313,62808,CV
4640,17620,PC
18797,51795,PC
17371,8888,CV
33911,35278,CV
44515,126733,PC
35175,19826,CV
38369,123102,PC
30685,110666,PC
16906,13077,CV
32123,32475,CV
16913,9006,CV
20365,18657,CV
7789,56319,CV
9707,65961,CV
49402,152961,PC
32115,41513,CV
43119,7145,PC
22181,133500,PC
40925,42479,CV
38880,46800,CV
29653,118193,PC
37768,28434,CV
7793,5614,CV
9160,19444,CV
20877,57085,CV
26553,54533,PC
28155,17632,CV
26193,12030,PC
38734,135375,PC
41030,37126,CV
45697,49239,CV
32006,39065,CV
38223,45643,CV
30264,18796,CV
28099,114344,PC
38921,30871,CV
222,1383,PC
29677,101112,PC
238,5123,PC
21202,122698,PC
18659,18128,PC
45670,49751,CV
45972,24550,CV
23509,29676,PC
40612,36809,CV
34217,134175,PC
8538,6685,CV
28110,15465,CV
32619,141254,PC
37111,131061,PC
5041,49966,PC
8126,58695,CV
18653,122663,PC
23872,14883,PC
36039,142471,PC
35688,132114,PC
24123,12597,CV
7661,11783,CV
5042,2847,PC
33737,35192,CV
40323,34936,CV
33216,21437,CV
7757,55873,CV
37423,800150,PC
34233,122301,PC
12688,13287,PC
43086,50565,PC
23124,55979,CV
9226,25709,CV
36401,37765,PC
7659,14180,CV
34970,144636,PC
7761,55993,CV
3629,4403,PC
22675,34443,PC
16516,25095,PC
8811,803390,CV
31509,48050,PC
37486,26926,CV
36539,50924,PC
10688,108491,PC
45666,49584,CV
16370,16206,PC
33093,120179,PC
2471,33891,PC
39305,118769,PC
46108,147434,PC
35866,27432,CV
37885,44836,CV
6066,8273,CV
36406,48207,PC
22604,13734,PC
18903,60365,CV
20451,25363,PC
27605,15998,CV
25617,31423,CV
22153,49336,CV
18830,55928,CV
25791,18957,PC
5170,6075,PC
30521,18897,CV
21725,14740,PC
17187,17047,PC
12147,4037,CV
24014,12506,CV
20956,7609,PC
6301,58529,CV
50184,155919,PC
22127,32359,CV
35012,16164,CV
7876,871,CV
4535,4151,PC
41043,35876,CV
27745,58745,PC
36365,30799,PC
44607,152732,PC
7725,65958,CV
44587,41858,CV
9191,26132,CV
35865,27600,CV
44625,145286,PC
19017,59614,CV
29012,19242,CV
42607,114513,PC
25024,129306,PC
5452,5237,PC
21901,114236,PC
8067,102,CV
36301,23756,PC
45499,47824,CV
28555,135338,PC
35598,135245,PC
27709,31288,CV
31643,43631,PC
18227,5526,PC
7761,55840,CV
14788,139114,PC
2514,10023,PC
16467,11741,CV
432,6406,PC
38915,33109,CV
2132,14847,PC
38983,64721,CV
7872,13519,CV
19884,21707,PC
45970,50734,CV
9219,52302,CV
6562,2149,PC
28160,800170,CV
51213,157209,PC
20364,11623,CV
8588,6101,CV
20530,18371,PC
50438,139814,PC
35754,150686,PC
25519,35382,CV
37152,33711,PC
6130,8302,CV
49978,57977,CV
18362,14509,CV
17457,61896,CV
13274,8429,PC
36342,111664,PC
51290,153469,PC
2834,8229,PC
1367,1531,PC
31938,31369,CV
306,1137,PC
47753,161605,PC
23722,32642,PC
26860,114113,PC
37154,137768,PC
42738,142074,PC
17018,17426,PC
30012,136401,PC
37624,41935,CV
14731,17675,PC
31366,141033,PC
6603,14673,CV
5761,301,CV
34066,32752,PC
38331,127689,PC
30337,110016,PC
33737,33727,CV
17457,62247,CV
16523,38486,CV
19479,20957,PC
36495,36784,PC
43306,57630,PC
47417,151085,PC
21050,65622,CV
24405,116645,PC
34687,127362,PC
33658,21575,CV
41191,38438,CV
18902,17794,CV
43398,137159,PC
47756,151090,PC
4352,118580,PC
45886,146937,PC
26728,133140,PC
26306,25442,PC
29905,129458,PC
30253,129045,PC
17623,5449,PC
26755,107321,PC
4055,1686,PC
10514,1967,CV
16467,54493,CV
36797,24467,CV
28562,49554,CV
6151,587,CV
28082,33213,CV
29575,100390,PC
43346,109929,PC
33911,15578,CV
7685,55901,CV
29688,115196,PC
28339,34,PC
40263,140524,PC
10515,2247,CV
28379,5053,PC
32534,118080,PC
37013,22919,CV
4170,6199,PC
24098,31814,PC
36444,115971,PC
19939,57783,PC
23306,22519,PC
21888,107734,PC
26831,38239,CV
28082,15928,CV
35484,24669,CV
46541,148073,PC
52929,159117,PC
27605,16243,CV
42435,154287,PC
22152,800472,CV
36319,38220,PC
37878,29269,CV
25238,13398,CV
37597,41804,CV
35541,53634,CV
23250,16470,CV
50185,158423,PC
48013,55589,CV
24354,32336,PC
41175,142464,PC
21048,26630,CV
37401,21054,CV
5196,6819,PC
28160,49321,CV
47587,52516,CV
35004,803586,CV
32747,100320,PC
34261,132168,PC
45969,50995,CV
38546,155263,PC
5758,324,CV
27488,42799,CV
17590,13939,PC
8878,5205,CV
28827,36936,CV
22127,801569,CV
22125,128421,PC
17050,11932,CV
25610,31515,CV
36333,36321,PC
30180,100387,PC
39026,138294,PC
37879,29271,CV
30265,57400,CV
32623,136718,PC
3775,49239,PC
29352,14583,PC
38818,38389,CV
31934,38050,CV
47458,801093,CV
24514,27809,CV
37860,28892,CV
17629,17383,PC
25092,11048,PC
22152,17413,CV
28728,12188,CV
35211,136724,PC
28037,1461,PC
3392,2098,PC
38098,29654,CV
29912,122177,PC
38832,40740,CV
38223,42274,CV
29262,2031,PC
9224,3667,CV
34094,124552,PC
3820,10821,PC
45671,49447,CV
28432,51444,PC
53131,800987,PC
35242,49989,CV
28506,120490,PC
36800,25571,CV
18322,5134,PC
34753,127654,PC
381,146687,PC
36765,33717,PC
6664,3605,CV
32116,32660,CV
37258,22086,PC
20085,23160,PC
38705,32960,CV
18134,18922,PC
37624,31672,CV
7663,1327,CV
23571,32101,PC
35012,16156,CV
43995,126392,PC
21728,160,PC
7877,840,CV
41270,47020,CV
17193,16963,PC
38839,48175,CV
16926,58869,CV
25024,58619,PC
15288,8768,PC
18836,17394,PC
47990,800217,PC
7769,1715,CV
16835,8855,CV
45757,158719,PC
37877,42784,CV
18501,134488,PC
44060,143453,PC
39889,139847,PC
30429,109941,PC
37442,27018,CV
5772,8292,CV
30253,130235,PC
24305,801809,PC
25188,14039,CV
22152,17306,CV
26905,29007,PC
32339,57402,PC
18281,17186,PC
48141,151176,PC
40684,40160,CV
17294,29911,PC
4140,1753,PC
33953,123559,PC
9471,8891,PC
19955,16914,PC
12768,7298,CV
18645,57103,CV
31921,31330,CV
29825,801441,CV
33736,35758,CV
1023,8338,PC
16455,16800,PC
20365,11606,CV
34038,158364,PC
8606,60252,CV
44655,128275,PC
52099,51807,CV
38221,46107,CV
22332,56844,CV
33138,120633,PC
32705,5084,PC
40495,44768,CV
35054,121780,PC
17937,12125,PC
19728,25849,PC
32722,34509,PC
27717,18509,CV
38756,30157,CV
39988,143615,PC
43670,123857,PC
25692,5284,PC
45010,41802,PC
14312,11976,CV
37597,31953,CV
26968,56754,PC
44579,41621,CV
4917,4467,PC
37622,41727,CV
21098,10382,CV
28929,54612,CV
25022,10356,PC
7606,3128,CV
2414,17471,PC
5775,58175,CV
16519,12136,CV
29331,15954,CV
6185,58149,CV
21663,124164,PC
40289,33914,CV
28928,54636,CV
20619,9541,CV
45695,43509,CV
27600,47503,CV
15956,9470,PC
38637,19646,CV
24340,137413,PC
21956,4946,PC
19567,21212,PC
32619,136013,PC
22971,8875,CV
41768,122051,PC
38703,137977,PC
37649,109341,PC
44272,41392,CV
36500,116416,PC
34619,46749,CV
22621,126164,PC
2576,4985,PC
42930,35233,PC
44851,800014,PC
774,4354,PC
35013,35448,CV
16507,36103,CV
45640,51474,CV
38867,30834,CV
54459,802440,CV
22984,11112,CV
18481,5887,PC
29199,26060,CV
26768,12550,PC
35352,130347,PC
7876,799,CV
45962,25789,CV
36661,114056,PC
28097,16290,CV
38190,29562,CV
28998,20925,CV
26828,41446,CV
30293,20490,CV
16367,16293,PC
47553,151586,PC
25519,16064,CV
11913,3776,CV
20250,58871,CV
53203,151593,PC
18696,15107,PC
27064,118696,PC
14308,11916,CV
33665,34170,CV
50217,152752,PC
25564,7450,PC
38170,29186,CV
36526,37782,PC
24941,11058,PC
21999,52918,PC
9707,1030,CV
35481,133652,PC
37654,138926,PC
26424,50863,PC
24243,130371,PC
28178,53273,PC
5490,4570,PC
7872,8061,CV
11391,3254,CV
25238,58502,CV
14430,18439,PC
47461,51873,CV
22441,26189,PC
34275,125588,PC
9624,23222,PC
35149,137064,PC
13954,16710,PC
30832,121197,PC
20775,135252,PC
54949,31689,PC
8069,106,CV
24722,19414,PC
24306,146776,PC
50630,156739,PC
18273,16227,PC
11316,5286,CV
38106,44513,CV
48140,151170,PC
40878,141488,PC
45899,147035,PC
45963,24534,CV
22377,800525,CV
